#Delete this row (row 1) and row 3 and 4 before use. Save as a csv. Only the first three columns are required. Any columns not used should be deleted. Do not include empty cells. This file has been populated for use with the required File Level Metadata (FLMD) Reporting Format. It lists the columns included in the FLMD csv. Only include the column headers used in the FLMD file.,,,,,
Name,Unit,Definition,Column_Long_Name,Type,Data_Type
Required,Required,Required,Optional,Optional,Optional
Provide entries for each Column Name from the data matrix in the data file.,"Provide variable units of measurement. Insert ""N/A"" when units aren't applicable. Data should be represented with units of measurement approved by the International System of Units (SI). Non-SI units are accepted for use and should be defined and referenced.","A complete unambiguous description. Information may include: formulas used to calculate entry; definitions of coding systems (e.g. missing values, quality flags, etc.); detection limits; timestamp calculation; measurement of uncertainty, etc.",Longer human-readable column name. Sometimes this may be identical to Definition or even Name.,Column or row header,"text, numeric, or date"
File_Name,N/A,Name of the files in the data package,File_Name,Column header,text
File_Description,N/A,A brief description of the files in the data package,File_Description,Column header,text
Standard,N/A,Standard applied to the data file,Standard,Column header,text
UTC_Offset,N/A,Local Standard Time Offset,UTC_Offset,Column header,text
File_Version,N/A,The version of the file,File_Version,Column header,numeric
Contact,N/A,Contact for the file,Contact,Column header,text
Start_Date,YYYY-MM-DD,The earliest date in the file,Start_Date,Column header,date
End_Date,YYYY-MM-DD,The latest date in the file,End_Date,Column header,date
Northwest_Latitude_Coordinate,Decimal degrees WGS84,Northwest Latitude Coordinate for non-point location,Northwest_Latitude_Coordinate,Column header,numeric
Northwest_Longitude_Coordinate,Decimal degrees WGS84,Northwest Longitude Coordinate for non-point location,Northwest_Longitude_Coordinate,Column header,numeric
Southeast_Latitude_Coordinate,Decimal degrees WGS84,Southeast Latitude Coordinate for non-point location,Southeast_Latitude_Coordinate,Column header,numeric
Southeast_Longitude_Coordinate,Decimal degrees WGS84,Southeast Longitude Coordinate for non-point location,Southeast_Longitude_Coordinate,Column header,numeric
Latitude,Decimal degrees WGS84,Latitude Coordinate for single point location,Latitude,Column header,numeric
Longitude,Decimal degrees WGS84,Longitude Coordinate for single point location,Longitude,Column header,numeric
Missing_Value_Codes,N/A,Missing value codes,Missing_Value_Codes,Column header,text
Notes,N/A,Additional information,Notes,Column header,text
Field_Name_Orientation,N/A,Orientation of the field name row or column,Field_Name_Orientation,Column header,text